Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,917.000000,920.000000,902.599976,917.000000,903.618896,2944138
2019-06-19,940.000000,946.700012,932.010010,932.010010,918.409851,5372640
2019-06-20,932.500000,975.500000,932.200012,975.000000,960.772522,6727197
2019-06-21,969.969971,984.489990,964.500000,976.299988,962.053528,4592675
2019-06-24,978.299988,999.690002,975.000000,987.099976,972.695923,4577920
2019-06-25,992.000000,999.000000,967.000000,982.979980,968.636047,5129595
2019-06-26,985.000000,985.000000,971.219971,979.859985,965.561584,2958818
2019-06-27,985.000000,1001.000000,981.119995,996.349976,981.810974,4797845
2019-06-28,985.989990,988.880005,971.330017,984.000000,984.000000,3108840
2019-07-01,1004.520020,1035.599976,1000.219971,1031.859985,1031.859985,5233723
2019-07-02,1025.000000,1029.500000,1016.000000,1025.000000,1025.000000,3906109
2019-07-03,1020.000000,1023.000000,981.500000,987.900024,987.900024,6713932
2019-07-04,985.799988,990.799988,971.219971,981.200012,981.200012,4621668
2019-07-05,986.000000,1006.000000,976.299988,999.820007,999.820007,5003271
2019-07-08,995.049988,997.900024,975.000000,984.859985,984.859985,3361352
2019-07-09,979.299988,989.000000,968.349976,976.059998,976.059998,3172332
2019-07-10,980.929993,990.580017,977.000000,982.520020,982.520020,2816670
2019-07-11,989.960022,998.380005,976.000000,981.500000,981.500000,3051419
2019-07-12,981.299988,991.500000,981.010010,986.090027,986.090027,2817385
2019-07-15,967.799988,980.099976,951.130005,975.929993,975.929993,5987040
2019-07-16,975.450012,982.299988,965.000000,968.000000,968.000000,3324524
2019-07-17,968.000000,972.989990,962.130005,963.500000,963.500000,2546887
2019-07-18,961.500000,963.000000,947.179993,947.500000,947.500000,3925295
2019-07-19,955.000000,960.799988,948.000000,955.869995,955.869995,2801481
2019-07-22,960.000000,964.000000,950.250000,957.020020,957.020020,2812549
2019-07-23,962.299988,962.590027,943.859985,953.979980,953.979980,3248395
2019-07-24,958.309998,959.900024,944.690002,946.359985,946.359985,4677120
2019-07-25,945.969971,963.359985,938.150024,963.000000,963.000000,3825570
2019-07-26,961.969971,971.000000,958.549988,965.030029,965.030029,2646759
2019-07-29,962.030029,979.500000,960.010010,976.409973,976.409973,2698133
2019-07-30,976.500000,983.000000,971.000000,978.929993,978.929993,1953797
2019-07-31,975.000000,981.770020,966.590027,972.599976,972.599976,2252620
2019-08-01,976.510010,977.000000,953.020020,959.299988,959.299988,3508952
2019-08-02,944.000000,957.979980,943.000000,954.450012,954.450012,3971940
2019-08-05,945.000000,954.000000,940.000000,942.429993,942.429993,3677431
2019-08-06,931.000000,948.000000,923.799988,946.299988,946.299988,4399116
2019-08-07,949.500000,955.530029,945.000000,945.000000,945.000000,2686998
2019-08-08,953.500000,974.000000,952.000000,971.679993,971.679993,3880813
2019-08-09,978.500000,980.950012,958.989990,962.030029,962.030029,2846170
2019-08-12,1010.309998,1020.099976,995.010010,1018.630005,1018.630005,8149895
2019-08-13,1016.159973,1026.000000,1010.679993,1017.950012,1017.950012,3032970
2019-08-14,1030.020020,1051.900024,1030.020020,1043.329956,1043.329956,4141095
2019-08-15,1028.000000,1046.479980,1028.000000,1044.900024,1044.900024,2723739
2019-08-16,1049.839966,1075.579956,1041.000000,1054.599976,1054.599976,3608673
2019-08-19,1061.000000,1069.979980,1049.050049,1055.880005,1055.880005,3286758
2019-08-20,1055.000000,1073.680054,1050.000000,1070.000000,1070.000000,2860213
2019-08-21,1070.099976,1076.969971,1061.660034,1066.000000,1066.000000,2506662
2019-08-22,1072.989990,1104.000000,1070.000000,1104.000000,1104.000000,3759078
2019-08-23,1105.000000,1133.560059,1095.619995,1130.099976,1130.099976,4019230
2019-08-26,1113.000000,1128.000000,1096.680054,1102.949951,1102.949951,4849789
2019-08-27,1117.000000,1131.310059,1109.000000,1109.000000,1109.000000,5216421
2019-08-28,1109.000000,1123.189941,1083.010010,1100.109985,1100.109985,4700967
2019-08-29,1105.000000,1118.180054,1092.500000,1113.099976,1113.099976,2933042
2019-08-30,1125.000000,1146.000000,1123.000000,1142.000000,1142.000000,4489077
2019-09-02,1139.989990,1144.979980,1129.000000,1138.760010,1138.760010,2823433
2019-09-03,1140.000000,1151.020020,1128.560059,1140.000000,1140.000000,2948509
2019-09-04,1140.800049,1142.910034,1120.109985,1125.010010,1125.010010,3360022
2019-09-05,1129.000000,1144.900024,1128.000000,1144.000000,1144.000000,3293084
2019-09-06,1144.500000,1146.150024,1131.000000,1142.489990,1142.489990,2617659
2019-09-09,1145.000000,1148.000000,1135.000000,1136.520020,1136.520020,2937934
2019-09-10,1134.300049,1135.000000,1120.010010,1123.849976,1123.849976,2622707
2019-09-11,1119.219971,1119.219971,1068.000000,1069.520020,1069.520020,8171654
2019-09-12,1066.000000,1109.979980,1066.000000,1099.000000,1099.000000,4121133
2019-09-16,1083.000000,1103.949951,1083.000000,1099.000000,1099.000000,3137180
2019-09-17,1094.000000,1106.660034,1087.000000,1094.010010,1094.010010,2519693
2019-09-18,1108.500000,1150.000000,1108.180054,1148.900024,1148.900024,6931447
2019-09-19,1148.000000,1150.000000,1137.099976,1145.000000,1145.000000,2447980
2019-09-20,1151.000000,1160.000000,1147.589966,1157.420044,1157.420044,3762666
2019-09-23,1157.000000,1157.000000,1131.000000,1149.000000,1149.000000,3002633
2019-09-24,1155.000000,1184.900024,1152.000000,1184.000000,1184.000000,3626913
2019-09-25,1180.000000,1188.869995,1170.500000,1174.000000,1174.000000,2402458
2019-09-26,1174.939941,1183.349976,1158.810059,1167.000000,1167.000000,2608194
2019-09-27,1164.000000,1183.000000,1153.000000,1174.750000,1174.750000,2282661
