Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,3.750000,3.760000,3.730000,3.760000,3.760000,66274063
2019-06-19,3.790000,3.810000,3.770000,3.780000,3.780000,136494225
2019-06-20,3.780000,3.820000,3.770000,3.810000,3.810000,162854955
2019-06-21,3.800000,3.820000,3.770000,3.770000,3.770000,170551338
2019-06-24,3.770000,3.780000,3.750000,3.780000,3.780000,80072015
2019-06-25,3.780000,3.790000,3.740000,3.750000,3.750000,112023253
2019-06-26,3.750000,3.750000,3.730000,3.740000,3.740000,78718333
2019-06-27,3.750000,3.770000,3.740000,3.750000,3.750000,101014091
2019-06-28,3.750000,3.750000,3.720000,3.740000,3.740000,74833318
2019-07-01,3.770000,3.780000,3.750000,3.760000,3.760000,120910317
2019-07-02,3.750000,3.770000,3.750000,3.770000,3.770000,96159565
2019-07-03,3.770000,3.780000,3.750000,3.770000,3.770000,107708784
2019-07-04,3.770000,3.780000,3.750000,3.770000,3.770000,86753502
2019-07-05,3.760000,3.770000,3.720000,3.750000,3.750000,130696774
2019-07-08,3.740000,3.750000,3.700000,3.710000,3.710000,145783199
2019-07-09,3.710000,3.720000,3.700000,3.710000,3.710000,70448639
2019-07-10,3.710000,3.710000,3.690000,3.700000,3.700000,59344976
2019-07-11,3.710000,3.720000,3.700000,3.710000,3.710000,53431974
2019-07-12,3.710000,3.720000,3.700000,3.720000,3.720000,87635209
2019-07-15,3.710000,3.720000,3.670000,3.700000,3.700000,102349661
2019-07-16,3.700000,3.700000,3.680000,3.690000,3.690000,62744974
2019-07-17,3.680000,3.690000,3.670000,3.670000,3.670000,60406641
2019-07-18,3.660000,3.670000,3.650000,3.650000,3.650000,64286242
2019-07-19,3.660000,3.680000,3.650000,3.670000,3.670000,86278289
2019-07-22,3.680000,3.690000,3.660000,3.670000,3.670000,88148597
2019-07-23,3.670000,3.700000,3.660000,3.690000,3.690000,81869420
2019-07-24,3.700000,3.710000,3.690000,3.690000,3.690000,71884541
2019-07-25,3.700000,3.710000,3.690000,3.700000,3.700000,82325055
2019-07-26,3.690000,3.710000,3.690000,3.700000,3.700000,58545225
2019-07-29,3.700000,3.710000,3.690000,3.700000,3.700000,60386308
2019-07-30,3.700000,3.720000,3.690000,3.720000,3.720000,83479350
2019-07-31,3.710000,3.710000,3.700000,3.710000,3.710000,57045671
2019-08-01,3.700000,3.710000,3.670000,3.680000,3.680000,99103831
2019-08-02,3.650000,3.650000,3.630000,3.640000,3.640000,101216389
2019-08-05,3.630000,3.630000,3.570000,3.580000,3.580000,118093792
2019-08-06,3.540000,3.550000,3.510000,3.530000,3.530000,134882201
2019-08-07,3.540000,3.550000,3.520000,3.520000,3.520000,79794815
2019-08-08,3.530000,3.550000,3.520000,3.540000,3.540000,95153569
2019-08-09,3.550000,3.570000,3.540000,3.560000,3.560000,80175899
2019-08-12,3.560000,3.590000,3.550000,3.580000,3.580000,58497319
2019-08-13,3.570000,3.580000,3.560000,3.580000,3.580000,52308971
2019-08-14,3.600000,3.610000,3.570000,3.570000,3.570000,49395414
2019-08-15,3.540000,3.580000,3.530000,3.580000,3.580000,61462098
2019-08-16,3.580000,3.580000,3.550000,3.570000,3.570000,52767073
2019-08-19,3.570000,3.580000,3.520000,3.580000,3.580000,123136396
2019-08-20,3.570000,3.580000,3.550000,3.560000,3.560000,75211957
2019-08-21,3.560000,3.560000,3.540000,3.550000,3.550000,35047992
2019-08-22,3.560000,3.570000,3.540000,3.540000,3.540000,37705060
2019-08-23,3.550000,3.550000,3.530000,3.540000,3.540000,56802281
2019-08-26,3.510000,3.540000,3.510000,3.520000,3.520000,100693444
2019-08-27,3.530000,3.570000,3.520000,3.570000,3.570000,107435695
2019-08-28,3.560000,3.560000,3.530000,3.540000,3.540000,57789435
2019-08-29,3.540000,3.550000,3.520000,3.530000,3.530000,57765111
2019-08-30,3.550000,3.550000,3.520000,3.530000,3.530000,71807855
2019-09-02,3.530000,3.550000,3.530000,3.540000,3.540000,81675660
2019-09-03,3.540000,3.560000,3.540000,3.550000,3.550000,81668623
2019-09-04,3.550000,3.600000,3.540000,3.600000,3.600000,134434142
2019-09-05,3.600000,3.650000,3.600000,3.620000,3.620000,131523688
2019-09-06,3.640000,3.640000,3.610000,3.630000,3.630000,67689681
2019-09-09,3.650000,3.660000,3.620000,3.630000,3.630000,87435328
2019-09-10,3.630000,3.640000,3.600000,3.620000,3.620000,69503426
2019-09-11,3.630000,3.660000,3.620000,3.660000,3.660000,101453382
2019-09-12,3.670000,3.670000,3.650000,3.660000,3.660000,68494513
2019-09-16,3.660000,3.660000,3.640000,3.660000,3.660000,65908033
2019-09-17,3.650000,3.660000,3.610000,3.620000,3.620000,74391925
2019-09-18,3.630000,3.630000,3.600000,3.600000,3.600000,66258757
2019-09-19,3.610000,3.620000,3.590000,3.610000,3.610000,65529753
2019-09-20,3.620000,3.630000,3.600000,3.610000,3.610000,110878048
2019-09-23,3.610000,3.620000,3.590000,3.600000,3.600000,59755386
2019-09-24,3.610000,3.620000,3.600000,3.600000,3.600000,45802034
2019-09-25,3.600000,3.610000,3.580000,3.590000,3.590000,57636691
2019-09-26,3.600000,3.630000,3.590000,3.610000,3.610000,105534969
2019-09-27,3.610000,3.610000,3.570000,3.600000,3.600000,96375888
2019-09-30,3.590000,3.610000,3.580000,3.580000,3.580000,75877957
2019-10-08,3.580000,3.610000,3.580000,3.600000,3.600000,80046740
2019-10-09,3.580000,3.630000,3.580000,3.620000,3.620000,80175291
2019-10-10,3.610000,3.620000,3.590000,3.600000,3.600000,77403361
2019-10-11,3.610000,3.640000,3.600000,3.640000,3.640000,94323806
2019-10-14,3.650000,3.720000,3.640000,3.670000,3.670000,230123803
2019-10-15,3.680000,3.700000,3.660000,3.680000,3.680000,147314161
2019-10-16,3.700000,3.740000,3.680000,3.690000,3.690000,129162795
2019-10-17,3.690000,3.700000,3.680000,3.680000,3.680000,60614155
2019-10-18,3.690000,3.710000,3.650000,3.660000,3.660000,85352927
2019-10-21,3.650000,3.690000,3.650000,3.690000,3.690000,72708059
2019-10-22,3.700000,3.700000,3.670000,3.690000,3.690000,60662989
2019-10-23,3.690000,3.720000,3.680000,3.710000,3.710000,108846633
2019-10-24,3.710000,3.770000,3.700000,3.750000,3.750000,160378562
2019-10-25,3.750000,3.750000,3.700000,3.730000,3.730000,99577223
2019-10-28,3.730000,3.750000,3.700000,3.710000,3.710000,87077379
2019-10-29,3.710000,3.720000,3.680000,3.690000,3.690000,81634177
2019-10-30,3.690000,3.700000,3.680000,3.690000,3.690000,61038410
2019-10-31,3.690000,3.700000,3.670000,3.700000,3.700000,95024015
2019-11-01,3.700000,3.710000,3.670000,3.700000,3.700000,94679745
2019-11-04,3.700000,3.720000,3.680000,3.700000,3.700000,117974302
2019-11-05,3.700000,3.740000,3.680000,3.720000,3.720000,165559807
2019-11-06,3.710000,3.750000,3.700000,3.740000,3.740000,128984628
2019-11-07,3.740000,3.750000,3.720000,3.730000,3.730000,86378235
2019-11-08,3.740000,3.740000,3.670000,3.680000,3.680000,133310111
2019-11-11,3.670000,3.670000,3.640000,3.640000,3.640000,101767899
2019-11-12,3.650000,3.660000,3.630000,3.660000,3.660000,65733057
2019-11-13,3.650000,3.660000,3.630000,3.650000,3.650000,77263350
2019-11-14,3.650000,3.650000,3.610000,3.620000,3.620000,77996463
2019-11-15,3.620000,3.630000,3.600000,3.610000,3.610000,89514014
2019-11-18,3.610000,3.630000,3.590000,3.620000,3.620000,77563849
2019-11-19,3.610000,3.640000,3.610000,3.630000,3.630000,80867714
