Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,5.210000,5.250000,5.160000,5.210000,5.202326,52953497
2019-06-19,5.290000,5.340000,5.240000,5.260000,5.252252,79887429
2019-06-20,5.260000,5.390000,5.220000,5.370000,5.362090,127503605
2019-06-21,5.370000,5.470000,5.350000,5.430000,5.422001,129202004
2019-06-24,5.430000,5.430000,5.350000,5.390000,5.382061,70271459
2019-06-25,5.370000,5.450000,5.330000,5.400000,5.392046,90555134
2019-06-26,5.360000,5.640000,5.340000,5.590000,5.581766,127752112
2019-06-27,5.670000,5.750000,5.510000,5.520000,5.511869,189868863
2019-06-28,5.550000,5.590000,5.480000,5.560000,5.551810,94306744
2019-07-01,5.620000,5.710000,5.600000,5.610000,5.601737,129448893
2019-07-02,6.170000,6.170000,5.940000,6.030000,6.021118,378464473
2019-07-03,6.050000,6.610000,5.940000,6.490000,6.480440,377572672
2019-07-04,6.430000,6.860000,6.370000,6.450000,6.440499,508551832
2019-07-05,6.380000,6.520000,6.260000,6.300000,6.290720,227549166
2019-07-08,6.280000,6.280000,5.980000,6.090000,6.081029,263534821
2019-07-09,6.050000,6.200000,6.030000,6.110000,6.101000,125533908
2019-07-10,6.090000,6.150000,6.000000,6.010000,6.001147,104386151
2019-07-11,6.060000,6.110000,5.930000,5.950000,5.941236,100560050
2019-07-12,5.960000,5.980000,5.840000,5.920000,5.911280,89426925
2019-07-15,5.910000,6.150000,5.900000,6.130000,6.120971,179126295
2019-07-16,6.080000,6.170000,6.060000,6.090000,6.081029,105910702
2019-07-17,6.120000,6.210000,6.100000,6.110000,6.101000,100584863
2019-07-18,6.040000,6.050000,5.930000,5.950000,5.950000,93951251
2019-07-19,5.970000,6.030000,5.940000,5.950000,5.950000,68996769
2019-07-22,5.950000,5.950000,5.710000,5.720000,5.720000,110497143
2019-07-23,5.740000,5.830000,5.720000,5.790000,5.790000,66385234
2019-07-24,5.830000,5.920000,5.810000,5.820000,5.820000,65646651
2019-07-25,5.860000,5.890000,5.830000,5.870000,5.870000,45573857
2019-07-26,5.840000,5.960000,5.820000,5.950000,5.950000,69718721
2019-07-29,5.980000,6.070000,5.980000,6.020000,6.020000,66492411
2019-07-30,6.000000,6.070000,5.980000,6.010000,6.010000,58393281
2019-07-31,5.980000,6.040000,5.930000,6.000000,6.000000,66973969
2019-08-01,6.020000,6.020000,5.930000,5.940000,5.940000,55727226
2019-08-02,5.810000,5.830000,5.700000,5.750000,5.750000,91937321
2019-08-05,5.740000,5.800000,5.700000,5.700000,5.700000,66529051
2019-08-06,5.540000,5.560000,5.340000,5.500000,5.500000,138399510
2019-08-07,5.500000,5.540000,5.400000,5.400000,5.400000,70644606
2019-08-08,5.500000,5.940000,5.490000,5.920000,5.920000,231196283
2019-08-09,5.960000,5.960000,5.740000,5.760000,5.760000,125703345
2019-08-12,5.700000,5.820000,5.700000,5.820000,5.820000,58632668
2019-08-13,5.750000,6.030000,5.720000,5.890000,5.890000,124144499
2019-08-14,5.970000,6.150000,5.900000,6.110000,6.110000,164286390
2019-08-15,5.900000,6.260000,5.850000,5.990000,5.990000,190246804
2019-08-16,5.970000,6.020000,5.870000,5.870000,5.870000,113711926
2019-08-19,5.880000,5.940000,5.850000,5.940000,5.940000,93569299
2019-08-20,5.940000,6.110000,5.890000,6.020000,6.020000,137958771
2019-08-21,6.000000,6.010000,5.930000,5.930000,5.930000,62394365
2019-08-22,5.930000,6.040000,5.920000,5.950000,5.950000,75621148
2019-08-23,5.960000,6.000000,5.900000,5.920000,5.920000,58474505
2019-08-26,5.780000,5.900000,5.730000,5.860000,5.860000,71830457
2019-08-27,5.900000,5.960000,5.860000,5.920000,5.920000,91801255
2019-08-28,5.940000,6.080000,5.920000,5.970000,5.970000,114685712
2019-08-29,5.970000,6.030000,5.940000,5.960000,5.960000,63911331
2019-08-30,5.990000,6.120000,5.940000,6.080000,6.080000,195600857
2019-09-02,6.070000,6.220000,6.040000,6.180000,6.180000,205647494
2019-09-03,6.160000,6.220000,6.090000,6.140000,6.140000,141713646
2019-09-04,6.100000,6.130000,6.040000,6.080000,6.080000,103577745
2019-09-05,6.140000,6.190000,6.090000,6.140000,6.140000,154751353
2019-09-06,6.150000,6.150000,6.060000,6.090000,6.090000,91401461
2019-09-09,6.130000,6.130000,6.070000,6.120000,6.120000,95866107
2019-09-10,6.110000,6.200000,6.100000,6.130000,6.130000,111209302
2019-09-11,6.130000,6.130000,6.030000,6.040000,6.040000,97019000
2019-09-12,6.050000,6.070000,6.020000,6.060000,6.060000,59999761
2019-09-16,6.070000,6.090000,6.020000,6.050000,6.050000,49483600
2019-09-17,6.050000,6.090000,5.920000,5.940000,5.940000,95629228
2019-09-18,5.940000,5.960000,5.820000,5.820000,5.820000,87300549
2019-09-19,5.830000,5.880000,5.780000,5.880000,5.880000,54577408
2019-09-20,5.900000,5.900000,5.820000,5.900000,5.900000,60884566
2019-09-23,5.870000,5.940000,5.830000,5.880000,5.880000,53618404
2019-09-24,5.880000,5.900000,5.840000,5.840000,5.840000,40674531
2019-09-25,5.830000,5.860000,5.730000,5.740000,5.740000,62864850
2019-09-26,5.750000,5.780000,5.500000,5.520000,5.520000,113239036
2019-09-27,5.510000,5.560000,5.500000,5.530000,5.530000,44735647
2019-09-30,5.530000,5.610000,5.510000,5.510000,5.510000,40326606
2019-10-08,5.500000,5.520000,5.450000,5.460000,5.460000,44697988
2019-10-09,5.430000,5.470000,5.400000,5.450000,5.450000,35586949
2019-10-10,5.460000,5.530000,5.450000,5.520000,5.520000,35708802
2019-10-11,5.530000,5.540000,5.460000,5.510000,5.510000,31807286
2019-10-14,5.550000,5.660000,5.540000,5.610000,5.610000,61199716
2019-10-15,5.600000,5.600000,5.530000,5.540000,5.540000,31807358
2019-10-16,5.550000,5.570000,5.470000,5.490000,5.490000,36471025
2019-10-17,5.490000,5.520000,5.450000,5.450000,5.450000,28007445
2019-10-18,5.470000,5.490000,5.360000,5.360000,5.360000,41270002
2019-10-21,5.360000,5.440000,5.260000,5.370000,5.370000,45684049
2019-10-22,5.370000,5.400000,5.320000,5.370000,5.370000,28693148
2019-10-23,5.370000,5.380000,5.290000,5.300000,5.300000,32804744
2019-10-24,5.300000,5.410000,5.260000,5.370000,5.370000,58988710
2019-10-25,5.410000,5.420000,5.330000,5.390000,5.390000,47564953
2019-10-28,5.590000,5.650000,5.480000,5.500000,5.500000,85682320
2019-10-29,5.500000,5.520000,5.420000,5.450000,5.450000,41546234
2019-10-30,5.450000,5.470000,5.360000,5.370000,5.370000,36737332
2019-10-31,5.340000,5.370000,5.270000,5.300000,5.300000,34857000
2019-11-01,5.300000,5.350000,5.240000,5.350000,5.350000,35068949
2019-11-04,5.340000,5.360000,5.310000,5.320000,5.320000,35078194
2019-11-05,5.300000,5.350000,5.270000,5.330000,5.330000,36310033
2019-11-06,5.330000,5.490000,5.310000,5.390000,5.390000,55322511
2019-11-07,5.350000,5.370000,5.320000,5.330000,5.330000,31947867
2019-11-08,5.380000,5.390000,5.320000,5.330000,5.330000,23310949
2019-11-11,5.300000,5.310000,5.210000,5.230000,5.230000,40369289
2019-11-12,5.200000,5.240000,5.160000,5.200000,5.200000,32963368
2019-11-13,5.210000,5.210000,5.110000,5.130000,5.130000,35038128
2019-11-14,5.120000,5.190000,5.120000,5.170000,5.170000,31049071
2019-11-15,5.150000,5.210000,5.120000,5.200000,5.200000,36314967
2019-11-18,5.190000,5.220000,5.150000,5.210000,5.210000,26478944
2019-11-19,5.220000,5.290000,5.190000,5.280000,5.280000,33929815
2019-11-20,5.290000,5.290000,5.230000,5.230000,5.230000,28442861
2019-11-21,5.230000,5.370000,5.210000,5.280000,5.280000,44441573
2019-11-22,5.230000,5.350000,5.200000,5.270000,5.270000,44303519
2019-11-25,5.250000,5.290000,5.240000,5.290000,5.290000,31507759
2019-11-26,5.350000,5.460000,5.320000,5.350000,5.350000,77208620
2019-11-27,5.380000,5.400000,5.320000,5.320000,5.320000,28963670
2019-11-28,5.320000,5.340000,5.290000,5.310000,5.310000,20708300
2019-11-29,5.320000,5.330000,5.280000,5.280000,5.280000,22895625
2019-12-02,5.280000,5.310000,5.180000,5.190000,5.190000,31933611
2019-12-03,5.200000,5.230000,5.140000,5.220000,5.220000,24309619
2019-12-04,5.200000,5.230000,5.170000,5.230000,5.230000,22490029
2019-12-05,5.230000,5.250000,5.180000,5.230000,5.230000,24914450
2019-12-06,5.230000,5.270000,5.200000,5.260000,5.260000,30825302
2019-12-09,5.240000,5.260000,5.230000,5.250000,5.250000,21543484
2019-12-10,5.250000,5.250000,5.180000,5.180000,5.180000,29641361
2019-12-11,5.200000,5.210000,5.160000,5.190000,5.190000,33069182
2019-12-12,5.180000,5.220000,5.170000,5.200000,5.200000,33918154
2019-12-13,5.210000,5.220000,5.180000,5.220000,5.220000,38816891
2019-12-16,5.220000,5.300000,5.190000,5.290000,5.290000,71085329
2019-12-17,5.280000,5.370000,5.260000,5.350000,5.350000,86503791
