Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,7.000000,7.010000,6.920000,6.930000,6.783978,105195449
2019-06-19,6.980000,6.990000,6.930000,6.940000,6.793767,115911936
2019-06-20,6.930000,6.990000,6.880000,6.980000,6.832924,148395506
2019-06-21,7.010000,7.030000,6.990000,7.030000,6.881871,138172446
2019-06-24,7.020000,7.020000,6.980000,7.010000,6.862292,83597755
2019-06-25,7.000000,7.010000,6.930000,6.960000,6.813346,88656608
2019-06-26,6.950000,7.000000,6.950000,6.990000,6.842713,88704328
2019-06-27,7.000000,7.020000,6.970000,6.990000,6.842713,107193628
2019-06-28,6.910000,6.910000,6.860000,6.880000,6.796001,58735606
2019-07-01,6.910000,6.930000,6.890000,6.930000,6.845391,123018849
2019-07-02,6.910000,6.920000,6.890000,6.910000,6.825635,69220383
2019-07-03,6.900000,6.900000,6.860000,6.880000,6.796001,73325455
2019-07-04,6.880000,6.910000,6.870000,6.900000,6.815757,67376194
2019-07-05,6.890000,6.900000,6.830000,6.860000,6.776246,115304483
2019-07-08,6.850000,6.860000,6.720000,6.750000,6.667588,118396878
2019-07-09,6.740000,6.750000,6.700000,6.710000,6.628077,67967523
2019-07-10,6.720000,6.720000,6.640000,6.660000,6.578687,67042587
2019-07-11,6.680000,6.710000,6.660000,6.670000,6.588565,67040408
2019-07-12,6.670000,6.690000,6.640000,6.670000,6.588565,48044859
2019-07-15,6.660000,6.670000,6.570000,6.640000,6.558931,72128654
2019-07-16,6.630000,6.640000,6.610000,6.620000,6.539176,47802359
2019-07-17,6.600000,6.620000,6.580000,6.600000,6.519420,48891363
2019-07-18,6.580000,6.590000,6.530000,6.530000,6.450274,76040219
2019-07-19,6.540000,6.580000,6.530000,6.550000,6.470030,57948291
2019-07-22,6.550000,6.550000,6.450000,6.450000,6.371251,84994174
2019-07-23,6.450000,6.470000,6.430000,6.450000,6.371251,50822041
2019-07-24,6.450000,6.500000,6.450000,6.480000,6.400885,62202602
2019-07-25,6.470000,6.470000,6.440000,6.470000,6.391007,43038711
2019-07-26,6.450000,6.570000,6.440000,6.540000,6.460152,116335248
2019-07-29,6.520000,6.560000,6.510000,6.540000,6.460152,56523870
2019-07-30,6.560000,6.560000,6.530000,6.540000,6.460152,47269200
2019-07-31,6.540000,6.550000,6.500000,6.510000,6.430519,40173380
2019-08-01,6.490000,6.500000,6.450000,6.460000,6.381129,50752817
2019-08-02,6.380000,6.380000,6.310000,6.330000,6.252716,95839322
2019-08-05,6.310000,6.320000,6.250000,6.250000,6.173693,65246356
2019-08-06,6.170000,6.190000,6.130000,6.160000,6.084792,90367104
2019-08-07,6.160000,6.280000,6.130000,6.200000,6.124303,88996986
2019-08-08,6.170000,6.200000,6.160000,6.170000,6.094670,57586013
2019-08-09,6.190000,6.220000,6.140000,6.170000,6.094670,56478575
2019-08-12,6.170000,6.190000,6.150000,6.190000,6.114426,41709671
2019-08-13,6.170000,6.170000,6.130000,6.140000,6.065036,42810762
2019-08-14,6.170000,6.190000,6.130000,6.140000,6.065036,48662603
2019-08-15,6.060000,6.110000,6.030000,6.100000,6.025524,57756532
2019-08-16,6.090000,6.120000,6.070000,6.100000,6.025524,44962180
