Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,6.280000,6.320000,6.280000,6.310000,5.971964,56438778
2019-06-19,6.370000,6.380000,6.320000,6.340000,6.000358,89138574
2019-06-20,6.340000,6.480000,6.330000,6.400000,6.057143,156113050
2019-06-21,6.410000,6.430000,6.380000,6.390000,6.047678,110774739
2019-06-24,6.390000,6.410000,6.380000,6.410000,6.066607,54056465
2019-06-25,6.410000,6.420000,6.330000,6.340000,6.000358,83376061
2019-06-26,6.350000,6.380000,6.330000,6.340000,6.000358,37931759
2019-06-27,6.360000,6.410000,6.350000,6.360000,6.019286,61991365
2019-06-28,6.370000,6.370000,6.320000,6.350000,6.009821,49588647
2019-07-01,6.410000,6.430000,6.390000,6.420000,6.076072,96311582
2019-07-02,6.420000,6.440000,6.400000,6.440000,6.095000,84664731
2019-07-03,6.430000,6.480000,6.410000,6.460000,6.113929,93408937
2019-07-04,6.470000,6.490000,6.430000,6.440000,6.095000,109627239
2019-07-05,6.130000,6.130000,6.080000,6.090000,6.090000,89774279
2019-07-08,6.070000,6.090000,5.980000,6.000000,6.000000,89469700
2019-07-09,6.010000,6.020000,5.960000,5.980000,5.980000,47690998
2019-07-10,6.000000,6.000000,5.960000,5.980000,5.980000,37246384
2019-07-11,6.000000,6.030000,5.980000,5.990000,5.990000,39816790
2019-07-12,5.990000,6.060000,5.990000,6.030000,6.030000,51573008
2019-07-15,6.010000,6.040000,5.930000,6.010000,6.010000,69226150
2019-07-16,6.010000,6.020000,5.990000,6.000000,6.000000,28332962
2019-07-17,5.980000,6.000000,5.960000,5.960000,5.960000,35791467
2019-07-18,5.960000,5.980000,5.940000,5.960000,5.960000,35962792
2019-07-19,5.970000,6.020000,5.960000,6.000000,6.000000,45011033
2019-07-22,6.010000,6.020000,5.960000,5.970000,5.970000,48453803
2019-07-23,5.970000,5.990000,5.960000,5.980000,5.980000,35023620
2019-07-24,5.990000,6.030000,5.980000,6.000000,6.000000,54336315
2019-07-25,6.000000,6.050000,5.990000,6.050000,6.050000,55222360
2019-07-26,6.030000,6.050000,6.020000,6.040000,6.040000,47600802
2019-07-29,6.040000,6.050000,6.020000,6.040000,6.040000,47343261
2019-07-30,6.040000,6.100000,6.030000,6.070000,6.070000,55980242
2019-07-31,6.070000,6.080000,6.030000,6.070000,6.070000,53904427
2019-08-01,6.040000,6.060000,6.010000,6.020000,6.020000,51711683
2019-08-02,5.960000,5.980000,5.950000,5.960000,5.960000,76469208
2019-08-05,5.940000,5.950000,5.840000,5.850000,5.850000,93855742
2019-08-06,5.780000,5.820000,5.760000,5.770000,5.770000,94560957
2019-08-07,5.790000,5.800000,5.740000,5.740000,5.740000,66395075
2019-08-08,5.760000,5.800000,5.750000,5.770000,5.770000,54985138
2019-08-09,5.780000,5.800000,5.750000,5.780000,5.780000,46215099
2019-08-12,5.780000,5.850000,5.760000,5.830000,5.830000,50564067
2019-08-13,5.810000,5.820000,5.780000,5.800000,5.800000,38381449
2019-08-14,5.840000,5.850000,5.790000,5.790000,5.790000,36112764
2019-08-15,5.730000,5.800000,5.720000,5.790000,5.790000,38280446
2019-08-16,5.780000,5.810000,5.760000,5.770000,5.770000,41553980
2019-08-19,5.770000,5.830000,5.730000,5.830000,5.830000,71472410
2019-08-20,5.810000,5.860000,5.810000,5.820000,5.820000,60611138
2019-08-21,5.820000,5.840000,5.800000,5.820000,5.820000,41314922
2019-08-22,5.830000,5.840000,5.800000,5.810000,5.810000,34454012
2019-08-23,5.810000,5.840000,5.780000,5.830000,5.830000,52224238
2019-08-26,5.760000,5.790000,5.740000,5.780000,5.780000,70726279
2019-08-27,5.800000,5.870000,5.790000,5.820000,5.820000,102880073
2019-08-28,5.840000,5.860000,5.820000,5.830000,5.830000,41182064
2019-08-29,5.820000,5.850000,5.800000,5.830000,5.830000,43418162
2019-08-30,5.850000,5.880000,5.790000,5.810000,5.810000,51912740
2019-09-02,5.840000,5.910000,5.820000,5.880000,5.880000,76198492
2019-09-03,5.900000,5.920000,5.870000,5.900000,5.900000,46100345
2019-09-04,5.930000,6.010000,5.920000,6.010000,6.010000,73741914
2019-09-05,6.030000,6.110000,6.020000,6.060000,6.060000,103936314
