Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,4.000000,4.020000,3.920000,3.960000,3.853756,63115916
2019-06-19,4.020000,4.050000,3.990000,4.000000,3.892683,58394493
2019-06-20,4.020000,4.070000,3.980000,4.060000,3.951073,95548782
2019-06-21,4.050000,4.150000,4.040000,4.110000,3.999732,141210386
2019-06-24,4.120000,4.210000,4.090000,4.160000,4.048390,124122826
2019-06-25,4.150000,4.200000,4.070000,4.160000,4.048390,123435661
2019-06-26,4.120000,4.140000,4.080000,4.080000,3.970537,69344856
2019-06-27,4.090000,4.120000,4.080000,4.100000,3.990000,56397592
2019-06-28,4.000000,4.010000,3.950000,3.960000,3.960000,55249241
2019-07-01,4.010000,4.030000,4.000000,4.030000,4.030000,78566384
2019-07-02,4.030000,4.140000,3.990000,4.110000,4.110000,136195096
2019-07-03,4.100000,4.100000,4.030000,4.030000,4.030000,89710522
2019-07-04,4.040000,4.060000,4.010000,4.020000,4.020000,55184713
2019-07-05,4.020000,4.030000,3.990000,4.010000,4.010000,31510575
2019-07-08,3.990000,4.000000,3.880000,3.890000,3.890000,70289461
2019-07-09,3.890000,3.910000,3.860000,3.900000,3.900000,39744204
2019-07-10,3.910000,3.920000,3.850000,3.860000,3.860000,30727511
2019-07-11,3.880000,3.920000,3.840000,3.860000,3.860000,37788078
2019-07-12,3.870000,3.880000,3.840000,3.850000,3.850000,34898037
2019-07-15,3.850000,3.890000,3.790000,3.860000,3.860000,51106905
2019-07-16,3.860000,3.900000,3.850000,3.870000,3.870000,35458384
2019-07-17,3.870000,3.880000,3.850000,3.850000,3.850000,32267022
2019-07-18,3.860000,3.880000,3.830000,3.830000,3.830000,43997730
2019-07-19,3.850000,3.910000,3.840000,3.880000,3.880000,50853678
2019-07-22,3.860000,3.870000,3.740000,3.750000,3.750000,60488848
2019-07-23,3.760000,3.780000,3.750000,3.780000,3.780000,25370136
2019-07-24,3.800000,3.820000,3.710000,3.740000,3.740000,138345432
2019-07-25,3.720000,3.730000,3.620000,3.630000,3.630000,152190882
2019-07-26,3.650000,3.660000,3.540000,3.610000,3.610000,167615759
2019-07-29,3.590000,3.590000,3.510000,3.540000,3.540000,150395573
2019-07-30,3.530000,3.570000,3.520000,3.540000,3.540000,92283167
2019-07-31,3.530000,3.660000,3.470000,3.620000,3.620000,180912223
2019-08-01,3.610000,3.750000,3.580000,3.720000,3.720000,277637178
2019-08-02,3.630000,3.700000,3.610000,3.650000,3.650000,133737499
2019-08-05,3.630000,3.640000,3.540000,3.560000,3.560000,130451000
2019-08-06,3.460000,3.510000,3.360000,3.390000,3.390000,162466240
2019-08-07,3.650000,3.730000,3.650000,3.730000,3.730000,290855717
2019-08-08,3.870000,4.020000,3.720000,3.740000,3.740000,590644014
2019-08-09,3.760000,3.880000,3.670000,3.840000,3.840000,320418008
2019-08-12,3.760000,3.790000,3.680000,3.720000,3.720000,173800902
2019-08-13,3.700000,3.810000,3.680000,3.750000,3.750000,165592219
2019-08-14,3.780000,3.900000,3.710000,3.850000,3.850000,257907254
2019-08-15,3.750000,3.840000,3.730000,3.780000,3.780000,148549386
2019-08-16,3.780000,3.790000,3.730000,3.730000,3.730000,102465233
2019-08-19,3.740000,3.770000,3.690000,3.760000,3.760000,119727565
2019-08-20,3.740000,3.820000,3.720000,3.760000,3.760000,129322684
